participant_id,mode,timestamp,attention_score,action,low_streak
P001,baseline,23.46,0.72,Baseline,26
P001,baseline,23.62,0.76,Baseline,25
P001,baseline,23.77,0.72,Baseline,24
P001,baseline,23.94,0.78,Baseline,23
P001,baseline,24.09,0.76,Baseline,22
P001,baseline,24.25,0.76,Baseline,21
P001,baseline,24.41,0.78,Baseline,20
P001,baseline,24.56,0.79,Baseline,19
P001,baseline,24.72,0.73,Baseline,18
P001,baseline,24.89,0.63,Baseline,17
P001,baseline,25.04,0.65,Baseline,16
P001,baseline,25.21,0.66,Baseline,15
P001,baseline,25.37,0.57,Baseline,14
P001,baseline,25.53,0.64,Baseline,13
P001,baseline,25.71,0.7,Baseline,12
P001,baseline,25.88,0.86,Baseline,11
P001,baseline,26.05,0.8,Baseline,10
P001,baseline,26.2,0.85,Baseline,9
P001,baseline,26.35,0.85,Baseline,8
P001,baseline,26.52,0.79,Baseline,7
P001,baseline,26.68,0.8,Baseline,6
P001,baseline,26.84,0.87,Baseline,5
P001,baseline,27.01,0.81,Baseline,4
P001,baseline,27.17,0.85,Baseline,3
P001,baseline,27.34,0.81,Baseline,2
P001,baseline,27.51,0.84,Baseline,1
P001,baseline,27.66,0.85,Baseline,0
P001,baseline,27.81,0.89,Baseline,0
P001,baseline,27.96,0.85,Baseline,0
P001,baseline,28.13,0.93,Baseline,0
P001,baseline,28.3,0.87,Baseline,0
P001,baseline,28.47,0.87,Baseline,0
P001,baseline,28.64,0.91,Baseline,0
P001,baseline,28.8,0.91,Baseline,0
P001,baseline,28.97,0.91,Baseline,0
P001,baseline,29.13,0.89,Baseline,0
P001,baseline,29.29,0.92,Baseline,0
P001,baseline,29.45,0.89,Baseline,0
P001,baseline,29.6,0.91,Baseline,0
P001,baseline,29.76,0.91,Baseline,0
P001,baseline,29.91,0.94,Baseline,0
P001,baseline,30.06,0.9,Baseline,0
P001,baseline,30.23,0.93,Baseline,0
P001,baseline,30.4,0.95,Baseline,0
