participant_id,mode,timestamp,attention_score,action,low_streak
P001,adaptive,3.71,0.77,Continue,0
P001,adaptive,4.33,0.92,Continue,0
P001,adaptive,4.56,0.9,Continue,0
P001,adaptive,4.73,0.86,Continue,0
P001,adaptive,4.89,0.87,Continue,0
P001,adaptive,5.06,0.87,Continue,0
P001,adaptive,5.23,0.83,Continue,0
P001,adaptive,5.4,0.83,Continue,0
P001,adaptive,5.81,0.89,Continue,0
P001,adaptive,5.98,0.87,Continue,0
P001,adaptive,6.16,0.84,Continue,0
P001,adaptive,6.32,0.85,Continue,0
P001,adaptive,6.49,0.85,Continue,0
P001,adaptive,6.64,0.83,Continue,0
P001,adaptive,6.79,0.87,Continue,0
P001,adaptive,6.95,0.89,Continue,0
P001,adaptive,7.11,0.92,Continue,0
P001,adaptive,7.26,0.92,Continue,0
P001,adaptive,7.42,0.88,Continue,0
P001,adaptive,7.58,0.87,Continue,0
P001,adaptive,7.74,0.84,Continue,0
P001,adaptive,7.9,0.85,Continue,0
P001,adaptive,8.05,0.85,Continue,0
P001,adaptive,8.21,0.77,Continue,0
P001,adaptive,8.37,0.82,Continue,0
P001,adaptive,8.54,0.8,Continue,0
P001,adaptive,8.71,0.82,Continue,0
P001,adaptive,8.88,0.82,Continue,0
P001,adaptive,9.05,0.77,Continue,0
P001,adaptive,9.21,0.83,Continue,0
P001,adaptive,9.38,0.79,Continue,0
P001,adaptive,9.53,0.82,Continue,0
P001,adaptive,9.69,0.85,Continue,0
P001,adaptive,9.84,0.81,Continue,0
P001,adaptive,9.99,0.85,Continue,0
P001,adaptive,10.15,0.85,Continue,0
P001,adaptive,10.31,0.84,Continue,0
P001,adaptive,10.47,0.76,Continue,0
P001,adaptive,10.62,0.88,Continue,0
P001,adaptive,10.78,0.83,Continue,0
P001,adaptive,10.93,0.7799999999999999,Continue,0
P001,adaptive,11.09,0.6799999999999999,Continue,0
P001,adaptive,11.25,0.5299999999999999,Slow Down,0
P001,adaptive,11.41,0.82,Continue,0
P001,adaptive,11.59,0.7699999999999999,Continue,0
P001,adaptive,11.75,0.71,Continue,0
P001,adaptive,11.91,0.6599999999999999,Continue,0
P001,adaptive,12.07,0.5599999999999999,Slow Down,0
P001,adaptive,12.23,0.4099999999999999,Slow Down,1
P001,adaptive,12.38,0.2599999999999999,Add Break,2
P001,adaptive,12.54,0.1099999999999999,Add Break,3
P001,adaptive,12.7,0.0,Add Break,4
P001,adaptive,12.85,0.0,Add Break,5
P001,adaptive,13.0,0.0,Add Break,6
P001,adaptive,13.15,0.0,Add Break,7
P001,adaptive,13.29,0.0,Add Break,8
P001,adaptive,13.44,0.0,Add Break,9
P001,adaptive,13.59,0.0,Add Break,10
P001,adaptive,13.73,0.0,Add Break,11
P001,adaptive,13.89,0.0,Add Break,12
P001,adaptive,14.05,0.0,Add Break,13
P001,adaptive,14.19,0.0,Add Break,14
P001,adaptive,14.34,0.0,Add Break,15
P001,adaptive,14.5,0.0,Add Break,16
P001,adaptive,14.65,0.0,Add Break,17
P001,adaptive,14.81,0.0,Add Break,18
P001,adaptive,14.96,0.0,Add Break,19
P001,adaptive,15.11,0.0,Add Break,20
P001,adaptive,15.26,0.0,Add Break,21
P001,adaptive,15.42,0.0,Add Break,22
P001,adaptive,15.57,0.0,Add Break,23
P001,adaptive,15.73,0.0,Add Break,24
P001,adaptive,15.88,0.0,Add Break,25
P001,adaptive,16.04,0.0,Add Break,26
P001,adaptive,16.19,0.0,Add Break,27
P001,adaptive,16.36,0.0,Add Break,28
P001,adaptive,16.5,0.0,Add Break,29
P001,adaptive,16.66,0.7,Slow Down,28
P001,adaptive,16.83,0.55,Add Break,27
P001,adaptive,17.0,0.5,Add Break,26
P001,adaptive,17.14,0.64,Slow Down,25
P001,adaptive,17.3,0.66,Slow Down,24
P001,adaptive,17.46,0.71,Slow Down,23
P001,adaptive,17.62,0.7,Slow Down,22
P001,adaptive,17.78,0.68,Slow Down,21
P001,adaptive,17.95,0.73,Slow Down,20
P001,adaptive,18.11,0.73,Slow Down,19
P001,adaptive,18.28,0.57,Add Break,18
P001,adaptive,18.44,0.55,Add Break,17
P001,adaptive,18.61,0.5,Add Break,16
P001,adaptive,18.77,0.4,Add Break,17
P001,adaptive,18.92,0.65,Slow Down,16
P001,adaptive,19.09,0.71,Slow Down,15
P001,adaptive,19.25,0.72,Slow Down,14
P001,adaptive,19.41,0.67,Slow Down,13
P001,adaptive,19.57,0.68,Slow Down,12
P001,adaptive,19.73,0.67,Slow Down,11
P001,adaptive,19.88,0.61,Add Break,10
P001,adaptive,20.04,0.68,Slow Down,9
P001,adaptive,20.2,0.63,Slow Down,8
P001,adaptive,20.37,0.56,Slow Down,7
P001,adaptive,20.53,0.63,Slow Down,6
P001,adaptive,20.7,0.67,Slow Down,5
P001,adaptive,20.85,0.7,Continue,4
P001,adaptive,21.01,0.61,Slow Down,3
P001,adaptive,21.18,0.68,Continue,2
P001,adaptive,21.33,0.65,Slow Down,1
P001,adaptive,21.49,0.67,Continue,0
P001,adaptive,21.66,0.62,Slow Down,0
P001,adaptive,21.81,0.56,Slow Down,0
P001,adaptive,21.97,0.68,Continue,0
P001,adaptive,22.14,0.63,Slow Down,0
P001,adaptive,22.3,0.53,Slow Down,0
P001,adaptive,22.46,0.38,Slow Down,1
P001,adaptive,22.62,0.83,Continue,0
P001,adaptive,22.78,0.84,Continue,0
P001,adaptive,22.94,0.88,Continue,0
P001,adaptive,23.1,0.86,Continue,0
P001,adaptive,23.26,0.92,Continue,0
P001,adaptive,23.42,0.88,Continue,0
P001,adaptive,23.58,0.92,Continue,0
P001,adaptive,23.74,0.95,Continue,0
P001,adaptive,23.9,0.86,Continue,0
P001,adaptive,24.07,0.84,Continue,0
P001,adaptive,24.24,0.83,Continue,0
P001,adaptive,24.39,0.77,Continue,0
P001,adaptive,24.54,0.91,Continue,0
P001,adaptive,24.7,0.94,Continue,0
P001,adaptive,24.86,0.89,Continue,0
P001,adaptive,25.02,0.85,Continue,0
P001,adaptive,25.16,0.91,Continue,0
P001,adaptive,25.33,0.94,Continue,0
P001,adaptive,25.48,0.96,Continue,0
P001,adaptive,25.65,0.89,Continue,0
P001,adaptive,25.81,0.95,Continue,0
P001,adaptive,25.97,0.9,Continue,0
P001,adaptive,26.12,0.88,Continue,0
P001,adaptive,26.29,0.85,Continue,0
P001,adaptive,26.71,0.84,Continue,0
P001,adaptive,26.86,0.96,Continue,0
P001,adaptive,27.02,0.93,Continue,0
P001,adaptive,27.18,0.92,Continue,0
P001,adaptive,27.35,0.97,Continue,0
P001,adaptive,27.5,0.7,Slow Down,0
P001,adaptive,27.66,0.91,Continue,0
P001,adaptive,27.81,0.83,Continue,0
P001,adaptive,27.98,0.85,Continue,0
P001,adaptive,28.15,0.88,Continue,0
P001,adaptive,28.32,0.88,Continue,0
P001,adaptive,28.49,0.85,Continue,0
P001,adaptive,28.66,0.8,Continue,0
P001,adaptive,28.83,0.8,Continue,0
P001,adaptive,28.99,0.75,Continue,0
P001,adaptive,29.14,0.93,Continue,0
P001,adaptive,29.31,0.84,Continue,0
P001,adaptive,29.46,0.81,Continue,0
P001,adaptive,29.62,0.89,Continue,0
P001,adaptive,29.78,0.81,Continue,0
P001,adaptive,29.95,0.73,Continue,0
P001,adaptive,30.1,0.76,Continue,0
P001,adaptive,30.26,0.8,Continue,0
P001,adaptive,30.41,0.77,Continue,0
P001,adaptive,30.57,0.79,Continue,0
P001,adaptive,30.75,0.77,Continue,0
P001,adaptive,30.91,0.81,Continue,0
P001,adaptive,31.07,0.74,Continue,0
P001,adaptive,31.23,0.8,Continue,0
P001,adaptive,31.38,0.78,Continue,0
P001,adaptive,31.54,0.74,Continue,0
P001,adaptive,31.69,0.82,Continue,0
P001,adaptive,31.85,0.78,Continue,0
P001,adaptive,32.01,0.8,Continue,0
P001,adaptive,32.18,0.87,Continue,0
P001,adaptive,32.35,0.82,Continue,0
P001,adaptive,32.51,0.82,Continue,0
P001,adaptive,32.67,0.87,Continue,0
P001,adaptive,32.84,0.89,Continue,0
P001,adaptive,33.02,0.82,Continue,0
P001,adaptive,33.2,0.81,Continue,0
P001,adaptive,33.36,0.89,Continue,0
P001,adaptive,33.52,0.87,Continue,0
P001,adaptive,33.68,0.82,Continue,0
P001,adaptive,33.85,0.87,Continue,0
P001,adaptive,34.01,0.83,Continue,0
P001,adaptive,34.17,0.83,Continue,0
P001,adaptive,34.33,0.86,Continue,0
P001,adaptive,34.49,0.79,Continue,0
P001,adaptive,34.66,0.81,Continue,0
P001,adaptive,34.82,0.83,Continue,0
P001,adaptive,34.98,0.82,Continue,0
P001,adaptive,35.14,0.86,Continue,0
P001,adaptive,35.29,0.81,Continue,0
P001,adaptive,35.45,0.84,Continue,0
P001,adaptive,35.6,0.78,Continue,0
P001,adaptive,35.77,0.82,Continue,0
P001,adaptive,35.93,0.88,Continue,0
P001,adaptive,36.09,0.89,Continue,0
P001,adaptive,36.24,0.85,Continue,0
P001,adaptive,36.4,0.84,Continue,0
P001,adaptive,36.57,0.87,Continue,0
