participant_id,mode,timestamp,attention_score,action,low_streak
P001,baseline,0.32,0.78,Baseline,0
P001,baseline,0.8,0.87,Baseline,0
P001,baseline,0.97,0.85,Baseline,0
P001,baseline,1.12,0.88,Baseline,0
P001,baseline,1.29,0.83,Baseline,0
P001,baseline,1.44,0.87,Baseline,0
P001,baseline,1.6,0.86,Baseline,0
P001,baseline,1.75,0.84,Baseline,0
P001,baseline,1.9,0.88,Baseline,0
P001,baseline,2.06,0.85,Baseline,0
P001,baseline,2.21,0.87,Baseline,0
P001,baseline,2.37,0.89,Baseline,0
P001,baseline,2.52,0.83,Baseline,0
P001,baseline,2.68,0.83,Baseline,0
P001,baseline,2.83,0.88,Baseline,0
P001,baseline,3.0,0.85,Baseline,0
P001,baseline,3.15,0.85,Baseline,0
P001,baseline,3.3,0.8,Baseline,0
P001,baseline,3.46,0.86,Baseline,0
P001,baseline,3.62,0.83,Baseline,0
P001,baseline,3.78,0.9,Baseline,0
P001,baseline,3.94,0.86,Baseline,0
P001,baseline,4.1,0.89,Baseline,0
P001,baseline,4.25,0.88,Baseline,0
P001,baseline,4.41,0.82,Baseline,0
P001,baseline,4.56,0.83,Baseline,0
P001,baseline,4.72,0.89,Baseline,0
P001,baseline,4.87,0.9,Baseline,0
P001,baseline,5.03,0.87,Baseline,0
P001,baseline,5.19,0.86,Baseline,0
P001,baseline,5.35,0.88,Baseline,0
P001,baseline,5.51,0.86,Baseline,0
P001,baseline,5.66,0.89,Baseline,0
P001,baseline,5.82,0.88,Baseline,0
P001,baseline,5.98,0.86,Baseline,0
P001,baseline,6.13,0.89,Baseline,0
P001,baseline,6.29,0.87,Baseline,0
P001,baseline,6.45,0.84,Baseline,0
P001,baseline,6.61,0.89,Baseline,0
P001,baseline,6.77,0.89,Baseline,0
P001,baseline,6.92,0.88,Baseline,0
P001,baseline,7.09,0.86,Baseline,0
P001,baseline,7.24,0.86,Baseline,0
P001,baseline,7.39,0.86,Baseline,0
P001,baseline,7.55,0.87,Baseline,0
P001,baseline,7.71,0.86,Baseline,0
P001,baseline,7.86,0.88,Baseline,0
P001,baseline,8.02,0.84,Baseline,0
P001,baseline,8.17,0.89,Baseline,0
P001,baseline,8.33,0.89,Baseline,0
P001,baseline,8.48,0.88,Baseline,0
P001,baseline,8.64,0.92,Baseline,0
P001,baseline,8.8,0.84,Baseline,0
P001,baseline,8.96,0.88,Baseline,0
P001,baseline,9.11,0.84,Baseline,0
P001,baseline,9.27,0.86,Baseline,0
P001,baseline,9.42,0.86,Baseline,0
P001,baseline,9.57,0.87,Baseline,0
P001,baseline,9.74,0.84,Baseline,0
P001,baseline,9.89,0.85,Baseline,0
P001,baseline,10.04,0.86,Baseline,0
P001,baseline,10.2,0.89,Baseline,0
P001,baseline,10.35,0.88,Baseline,0
P001,baseline,10.51,0.86,Baseline,0
P001,baseline,10.67,0.89,Baseline,0
P001,baseline,10.82,0.87,Baseline,0
P001,baseline,10.98,0.86,Baseline,0
P001,baseline,11.13,0.84,Baseline,0
P001,baseline,11.29,0.84,Baseline,0
P001,baseline,11.45,0.91,Baseline,0
P001,baseline,11.6,0.89,Baseline,0
P001,baseline,11.75,0.88,Baseline,0
P001,baseline,11.91,0.87,Baseline,0
P001,baseline,12.07,0.89,Baseline,0
P001,baseline,12.22,0.88,Baseline,0
P001,baseline,12.37,0.85,Baseline,0
P001,baseline,12.53,0.85,Baseline,0
P001,baseline,12.69,0.86,Baseline,0
P001,baseline,12.84,0.87,Baseline,0
P001,baseline,13.01,0.86,Baseline,0
P001,baseline,13.16,0.87,Baseline,0
P001,baseline,13.31,0.87,Baseline,0
P001,baseline,13.46,0.87,Baseline,0
P001,baseline,13.63,0.87,Baseline,0
P001,baseline,13.78,0.84,Baseline,0
P001,baseline,13.94,0.86,Baseline,0
P001,baseline,14.09,0.89,Baseline,0
P001,baseline,14.26,0.85,Baseline,0
P001,baseline,14.42,0.86,Baseline,0
P001,baseline,14.58,0.87,Baseline,0
P001,baseline,14.73,0.89,Baseline,0
P001,baseline,14.88,0.85,Baseline,0
P001,baseline,15.04,0.87,Baseline,0
P001,baseline,15.2,0.86,Baseline,0
P001,baseline,15.68,0.92,Baseline,0
P001,baseline,15.84,0.91,Baseline,0
P001,baseline,16.0,0.87,Baseline,0
P001,baseline,16.16,0.89,Baseline,0
P001,baseline,16.31,0.89,Baseline,0
P001,baseline,16.48,0.88,Baseline,0
P001,baseline,16.63,0.86,Baseline,0
P001,baseline,16.79,0.91,Baseline,0
P001,baseline,16.94,0.88,Baseline,0
P001,baseline,17.1,0.88,Baseline,0
P001,baseline,17.26,0.88,Baseline,0
P001,baseline,17.41,0.86,Baseline,0
P001,baseline,17.56,0.87,Baseline,0
P001,baseline,17.72,0.84,Baseline,0
P001,baseline,17.87,0.85,Baseline,0
P001,baseline,18.03,0.92,Baseline,0
P001,baseline,18.18,0.9,Baseline,0
P001,baseline,18.34,0.87,Baseline,0
P001,baseline,18.5,0.86,Baseline,0
P001,baseline,18.65,0.88,Baseline,0
P001,baseline,18.81,0.86,Baseline,0
P001,baseline,18.96,0.88,Baseline,0
P001,baseline,19.12,0.89,Baseline,0
P001,baseline,19.27,0.87,Baseline,0
P001,baseline,19.43,0.89,Baseline,0
P001,baseline,19.59,0.89,Baseline,0
P001,baseline,19.76,0.89,Baseline,0
P001,baseline,19.91,0.86,Baseline,0
P001,baseline,20.06,0.86,Baseline,0
P001,baseline,20.22,0.89,Baseline,0
P001,baseline,20.37,0.87,Baseline,0
P001,baseline,20.53,0.88,Baseline,0
P001,baseline,20.69,0.88,Baseline,0
P001,baseline,20.84,0.88,Baseline,0
P001,baseline,20.99,0.88,Baseline,0
P001,baseline,21.16,0.88,Baseline,0
P001,baseline,21.32,0.84,Baseline,0
P001,baseline,21.47,0.89,Baseline,0
P001,baseline,21.63,0.87,Baseline,0
P001,baseline,21.78,0.87,Baseline,0
P001,baseline,21.94,0.86,Baseline,0
P001,baseline,22.1,0.86,Baseline,0
P001,baseline,22.25,0.84,Baseline,0
P001,baseline,22.4,0.84,Baseline,0
P001,baseline,22.57,0.8,Baseline,0
P001,baseline,22.74,0.85,Baseline,0
P001,baseline,22.89,0.86,Baseline,0
P001,baseline,23.05,0.83,Baseline,0
P001,baseline,23.21,0.84,Baseline,0
P001,baseline,23.37,0.81,Baseline,0
P001,baseline,23.53,0.83,Baseline,0
P001,baseline,23.68,0.88,Baseline,0
P001,baseline,23.84,0.87,Baseline,0
P001,baseline,23.99,0.78,Baseline,0
P001,baseline,24.15,0.89,Baseline,0
P001,baseline,24.3,0.87,Baseline,0
P001,baseline,24.46,0.87,Baseline,0
P001,baseline,24.61,0.91,Baseline,0
P001,baseline,24.77,0.89,Baseline,0
P001,baseline,24.93,0.87,Baseline,0
P001,baseline,25.1,0.86,Baseline,0
P001,baseline,25.25,0.84,Baseline,0
P001,baseline,25.41,0.87,Baseline,0
P001,baseline,25.56,0.86,Baseline,0
P001,baseline,25.71,0.85,Baseline,0
P001,baseline,25.87,0.84,Baseline,0
P001,baseline,26.03,0.83,Baseline,0
P001,baseline,26.19,0.87,Baseline,0
P001,baseline,26.34,0.84,Baseline,0
P001,baseline,26.5,0.89,Baseline,0
P001,baseline,26.65,0.89,Baseline,0
P001,baseline,26.81,0.89,Baseline,0
P001,baseline,26.97,0.86,Baseline,0
P001,baseline,27.12,0.87,Baseline,0
P001,baseline,27.29,0.85,Baseline,0
P001,baseline,27.45,0.83,Baseline,0
P001,baseline,27.6,0.84,Baseline,0
P001,baseline,27.76,0.84,Baseline,0
P001,baseline,27.92,0.85,Baseline,0
P001,baseline,28.07,0.87,Baseline,0
P001,baseline,28.23,0.89,Baseline,0
P001,baseline,28.38,0.88,Baseline,0
P001,baseline,28.54,0.87,Baseline,0
P001,baseline,28.69,0.87,Baseline,0
P001,baseline,28.85,0.88,Baseline,0
P001,baseline,29.01,0.89,Baseline,0
P001,baseline,29.16,0.84,Baseline,0
P001,baseline,29.32,0.84,Baseline,0
P001,baseline,29.47,0.88,Baseline,0
P001,baseline,29.63,0.86,Baseline,0
P001,baseline,30.14,0.85,Baseline,0
P001,baseline,30.3,0.87,Baseline,0
P001,baseline,30.47,0.87,Baseline,0
P001,baseline,30.62,0.88,Baseline,0
P001,baseline,30.79,0.87,Baseline,0
P001,baseline,30.95,0.87,Baseline,0
P001,baseline,31.11,0.85,Baseline,0
P001,baseline,31.26,0.89,Baseline,0
