participant_id,mode,timestamp,attention_score,action,low_streak
Anmol,adaptive,21.94,0.88,Continue,0
Anmol,adaptive,22.1,0.85,Continue,0
Anmol,adaptive,22.25,0.9,Continue,0
Anmol,adaptive,22.41,0.86,Continue,0
Anmol,adaptive,22.56,0.82,Continue,0
Anmol,adaptive,22.73,0.86,Continue,0
Anmol,adaptive,22.9,0.88,Continue,0
Anmol,adaptive,23.05,0.88,Continue,0
Anmol,adaptive,23.2,0.9,Continue,0
Anmol,adaptive,23.36,0.87,Continue,0
Anmol,adaptive,23.51,0.87,Continue,0
Anmol,adaptive,23.67,0.9,Continue,0
Anmol,adaptive,23.83,0.91,Continue,0
Anmol,adaptive,23.98,0.93,Continue,0
Anmol,adaptive,24.14,0.9,Continue,0
Anmol,adaptive,24.3,0.89,Continue,0
Anmol,adaptive,24.45,0.89,Continue,0
Anmol,adaptive,24.61,0.86,Continue,0
Anmol,adaptive,24.77,0.93,Continue,0
Anmol,adaptive,24.93,0.91,Continue,0
Anmol,adaptive,25.09,0.88,Continue,0
Anmol,adaptive,25.24,0.93,Continue,0
Anmol,adaptive,25.42,0.92,Continue,0
Anmol,adaptive,25.59,0.85,Continue,0
Anmol,adaptive,25.76,0.87,Continue,0
Anmol,adaptive,25.92,0.88,Continue,0
Anmol,adaptive,26.08,0.87,Continue,0
Anmol,adaptive,26.23,0.87,Continue,0
Anmol,adaptive,26.4,0.92,Continue,0
Anmol,adaptive,26.55,0.9,Continue,0
Anmol,adaptive,26.71,0.9,Continue,0
Anmol,adaptive,26.87,0.87,Continue,0
Anmol,adaptive,27.03,0.9,Continue,0
Anmol,adaptive,27.18,0.9,Continue,0
Anmol,adaptive,27.34,0.9,Continue,0
Anmol,adaptive,27.5,0.86,Continue,0
Anmol,adaptive,27.65,0.9,Continue,0
Anmol,adaptive,27.81,0.89,Continue,0
Anmol,adaptive,27.97,0.88,Continue,0
Anmol,adaptive,28.14,0.86,Continue,0
Anmol,adaptive,28.28,0.88,Continue,0
Anmol,adaptive,28.45,0.85,Continue,0
Anmol,adaptive,28.6,0.88,Continue,0
Anmol,adaptive,28.75,0.89,Continue,0
Anmol,adaptive,28.92,0.89,Continue,0
Anmol,adaptive,29.08,0.87,Continue,0
Anmol,adaptive,29.58,0.8,Continue,0
Anmol,adaptive,29.73,0.87,Continue,0
Anmol,adaptive,29.88,0.87,Continue,0
Anmol,adaptive,30.04,0.84,Continue,0
Anmol,adaptive,30.2,0.83,Continue,0
Anmol,adaptive,30.37,0.86,Continue,0
Anmol,adaptive,30.54,0.84,Continue,0
Anmol,adaptive,30.69,0.75,Continue,0
Anmol,adaptive,30.86,0.82,Continue,0
Anmol,adaptive,31.03,0.7699999999999999,Continue,0
Anmol,adaptive,31.17,0.67,Continue,0
Anmol,adaptive,31.34,0.69,Continue,0
Anmol,adaptive,31.5,0.63,Slow Down,0
Anmol,adaptive,31.65,0.65,Continue,0
Anmol,adaptive,31.81,0.73,Continue,0
Anmol,adaptive,31.98,0.6799999999999999,Continue,0
Anmol,adaptive,32.13,0.58,Slow Down,0
Anmol,adaptive,32.29,0.78,Continue,0
Anmol,adaptive,32.45,0.75,Continue,0
Anmol,adaptive,32.61,0.6,Slow Down,0
Anmol,adaptive,32.77,0.63,Continue,0
Anmol,adaptive,32.93,0.72,Continue,0
Anmol,adaptive,33.09,0.59,Slow Down,0
Anmol,adaptive,33.25,0.75,Continue,0
Anmol,adaptive,33.42,0.67,Continue,0
