participant_id,mode,timestamp,attention_score,action,low_streak
Anmol,baseline,24.95,0.86,Baseline,0
Anmol,baseline,25.1,0.82,Baseline,0
Anmol,baseline,25.26,0.8,Baseline,0
Anmol,baseline,25.42,0.87,Baseline,0
Anmol,baseline,25.56,0.88,Baseline,0
Anmol,baseline,25.73,0.81,Baseline,0
Anmol,baseline,25.89,0.82,Baseline,0
Anmol,baseline,26.05,0.78,Baseline,0
Anmol,baseline,26.22,0.83,Baseline,0
Anmol,baseline,26.38,0.82,Baseline,0
Anmol,baseline,26.54,0.83,Baseline,0
Anmol,baseline,26.7,0.82,Baseline,0
Anmol,baseline,26.85,0.83,Baseline,0
Anmol,baseline,27.0,0.85,Baseline,0
Anmol,baseline,27.16,0.86,Baseline,0
Anmol,baseline,27.31,0.84,Baseline,0
Anmol,baseline,27.47,0.7899999999999999,Baseline,0
Anmol,baseline,27.62,0.62,Baseline,0
Anmol,baseline,27.78,0.57,Baseline,0
Anmol,baseline,27.94,0.47,Baseline,0
Anmol,baseline,28.09,0.56,Baseline,0
Anmol,baseline,28.26,0.68,Baseline,0
Anmol,baseline,28.46,0.63,Baseline,0
Anmol,baseline,28.63,0.44,Baseline,1
Anmol,baseline,28.8,0.55,Baseline,0
Anmol,baseline,28.96,0.48,Baseline,0
Anmol,baseline,29.11,0.56,Baseline,0
Anmol,baseline,29.32,0.69,Baseline,0
Anmol,baseline,29.49,0.53,Baseline,0
Anmol,baseline,29.64,0.55,Baseline,0
Anmol,baseline,29.81,0.55,Baseline,0
Anmol,baseline,29.97,0.55,Baseline,0
Anmol,baseline,30.12,0.51,Baseline,0
Anmol,baseline,30.28,0.64,Baseline,0
Anmol,baseline,30.43,0.62,Baseline,0
Anmol,baseline,30.59,0.56,Baseline,0
Anmol,baseline,30.75,0.65,Baseline,0
Anmol,baseline,30.91,0.54,Baseline,0
Anmol,baseline,31.07,0.45,Baseline,0
Anmol,baseline,31.23,0.59,Baseline,0
Anmol,baseline,31.38,0.5,Baseline,0
Anmol,baseline,31.54,0.6,Baseline,0
Anmol,baseline,31.69,0.44,Baseline,1
Anmol,baseline,31.86,0.51,Baseline,0
Anmol,baseline,32.02,0.55,Baseline,0
Anmol,baseline,32.18,0.51,Baseline,0
Anmol,baseline,32.33,0.62,Baseline,0
Anmol,baseline,32.49,0.49,Baseline,0
Anmol,baseline,32.64,0.69,Baseline,0
Anmol,baseline,32.8,0.62,Baseline,0
Anmol,baseline,32.95,0.54,Baseline,0
Anmol,baseline,33.11,0.63,Baseline,0
Anmol,baseline,33.29,0.66,Baseline,0
Anmol,baseline,33.46,0.5,Baseline,0
Anmol,baseline,33.63,0.58,Baseline,0
Anmol,baseline,33.78,0.52,Baseline,0
Anmol,baseline,33.93,0.65,Baseline,0
Anmol,baseline,34.08,0.56,Baseline,0
Anmol,baseline,34.25,0.49,Baseline,0
Anmol,baseline,34.42,0.6,Baseline,0
Anmol,baseline,34.87,0.51,Baseline,0
Anmol,baseline,35.03,0.66,Baseline,0
Anmol,baseline,35.18,0.61,Baseline,0
Anmol,baseline,35.33,0.67,Baseline,0
Anmol,baseline,35.5,0.53,Baseline,0
Anmol,baseline,35.66,0.66,Baseline,0
Anmol,baseline,35.82,0.41,Baseline,1
Anmol,baseline,35.98,0.57,Baseline,0
Anmol,baseline,36.14,0.6,Baseline,0
Anmol,baseline,36.3,0.69,Baseline,0
Anmol,baseline,36.46,0.67,Baseline,0
Anmol,baseline,36.62,0.67,Baseline,0
Anmol,baseline,36.78,0.67,Baseline,0
Anmol,baseline,36.94,0.73,Baseline,0
Anmol,baseline,37.09,0.62,Baseline,0
Anmol,baseline,37.26,0.66,Baseline,0
Anmol,baseline,37.4,0.64,Baseline,0
Anmol,baseline,37.57,0.6,Baseline,0
Anmol,baseline,37.72,0.55,Baseline,0
Anmol,baseline,37.88,0.58,Baseline,0
Anmol,baseline,38.03,0.64,Baseline,0
Anmol,baseline,38.19,0.67,Baseline,0
Anmol,baseline,38.34,0.52,Baseline,0
Anmol,baseline,38.51,0.54,Baseline,0
Anmol,baseline,38.67,0.59,Baseline,0
Anmol,baseline,38.83,0.66,Baseline,0
Anmol,baseline,38.99,0.62,Baseline,0
Anmol,baseline,39.15,0.5,Baseline,0
Anmol,baseline,39.31,0.72,Baseline,0
Anmol,baseline,39.47,0.67,Baseline,0
Anmol,baseline,39.62,0.63,Baseline,0
Anmol,baseline,39.79,0.74,Baseline,0
Anmol,baseline,39.96,0.84,Baseline,0
Anmol,baseline,40.12,0.85,Baseline,0
Anmol,baseline,40.27,0.79,Baseline,0
Anmol,baseline,40.43,0.83,Baseline,0
Anmol,baseline,40.59,0.87,Baseline,0
Anmol,baseline,40.75,0.84,Baseline,0
Anmol,baseline,40.91,0.8,Baseline,0
